                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0482,                0.83406,                0.88725,                0.64734,                0.66562,                0.66706,                0.43943,                 1.1542,                0.83617,                0.92199,              6.832e-05,              6.832e-05,              6.832e-05
                     35,                 1.0291,                0.82938,                0.88334,                0.67815,                0.66564,                0.67454,                0.44452,                 1.1493,                0.83064,                0.91794,              6.733e-05,              6.733e-05,              6.733e-05
                     36,                 1.0319,                0.82529,                0.88997,                0.68986,                0.59827,                0.65504,                0.43853,                  1.143,                 0.8345,                0.91458,              6.634e-05,              6.634e-05,              6.634e-05
                     37,                  1.033,                0.81679,                0.88891,                 0.7037,                0.68222,                0.70275,                 0.4634,                 1.1439,                0.79956,                0.91454,              6.535e-05,              6.535e-05,              6.535e-05
                     38,                 1.0171,                0.80267,                0.88494,                0.68842,                0.60827,                0.67081,                0.44217,                 1.1414,                0.82093,                0.91301,              6.436e-05,              6.436e-05,              6.436e-05
                     39,                 1.0326,                0.80752,                0.88897,                0.66911,                0.67755,                0.66666,                0.43714,                 1.1539,                0.82822,                0.91846,              6.337e-05,              6.337e-05,              6.337e-05
                     40,                 1.0388,                 0.8144,                0.88819,                0.72461,                0.60569,                 0.6921,                0.45326,                  1.152,                0.80531,                0.91672,              6.238e-05,              6.238e-05,              6.238e-05
                     41,                 1.0225,                0.80165,                 0.8879,                0.69373,                0.66169,                0.70153,                0.46267,                 1.1468,                0.78837,                0.91397,              6.139e-05,              6.139e-05,              6.139e-05
                     42,                 1.0147,                0.78904,                0.88446,                0.65514,                0.70493,                0.69919,                0.46248,                  1.142,                0.79561,                0.91307,               6.04e-05,               6.04e-05,               6.04e-05
                     43,                 1.0401,                0.80047,                 0.8876,                0.62309,                0.70211,                0.69889,                0.46685,                 1.1392,                0.80414,                0.91371,              5.941e-05,              5.941e-05,              5.941e-05
                     44,                 1.0257,                0.78705,                0.88579,                0.72694,                0.60996,                0.69284,                0.46191,                 1.1315,                0.80282,                0.91499,              5.842e-05,              5.842e-05,              5.842e-05
                     45,                 1.0135,                0.79277,                0.88233,                0.63517,                0.70919,                 0.6956,                0.46191,                 1.1327,                0.78853,                0.91173,              5.743e-05,              5.743e-05,              5.743e-05
                     46,                 1.0153,                0.77339,                0.88162,                0.73334,                0.64705,                0.70736,                0.47591,                 1.1336,                0.81286,                0.91264,              5.644e-05,              5.644e-05,              5.644e-05
                     47,                 1.0153,                0.77829,                0.88575,                0.67946,                 0.6719,                0.69981,                0.46654,                 1.1399,                0.79666,                0.91526,              5.545e-05,              5.545e-05,              5.545e-05
                     48,                 1.0006,                0.75472,                0.88523,                0.67216,                0.66651,                0.68566,                0.45951,                 1.1411,                0.79393,                0.91235,              5.446e-05,              5.446e-05,              5.446e-05
                     49,                 1.0178,                0.77833,                0.88599,                0.67033,                0.64793,                0.67936,                 0.4545,                 1.1344,                0.78901,                0.91318,              5.347e-05,              5.347e-05,              5.347e-05
                     50,                 1.0125,                0.78375,                0.88488,                0.72047,                0.61682,                0.68974,                0.46054,                 1.1338,                0.77658,                0.91108,              5.248e-05,              5.248e-05,              5.248e-05
                     51,                 1.0095,                 0.7571,                0.87796,                0.62769,                0.68947,                0.68544,                 0.4569,                 1.1286,                0.77999,                0.91114,              5.149e-05,              5.149e-05,              5.149e-05
                     52,                0.99208,                0.76434,                 0.8849,                0.67199,                0.64228,                0.67113,                0.44082,                 1.1484,                0.80782,                0.91474,               5.05e-05,               5.05e-05,               5.05e-05
                     53,                 1.0051,                0.75616,                0.88797,                0.71316,                 0.6404,                0.70742,                0.46686,                 1.1426,                0.78125,                0.91591,              4.951e-05,              4.951e-05,              4.951e-05
                     54,                   1.01,                0.74248,                 0.8814,                0.67054,                0.64838,                0.71058,                0.46586,                 1.1437,                0.80737,                0.91673,              4.852e-05,              4.852e-05,              4.852e-05
                     55,                 1.0041,                 0.7725,                 0.8846,                0.72974,                0.59755,                0.70303,                0.47078,                 1.1349,                0.78914,                0.91278,              4.753e-05,              4.753e-05,              4.753e-05
                     56,                0.99963,                0.75733,                0.87923,                0.69239,                0.65703,                0.69646,                0.46631,                 1.1296,                0.75826,                0.91148,              4.654e-05,              4.654e-05,              4.654e-05
                     57,                0.99595,                0.74467,                0.87925,                0.67825,                0.69742,                 0.7049,                0.47421,                 1.1268,                 0.7575,                0.91002,              4.555e-05,              4.555e-05,              4.555e-05
                     58,                 1.0117,                0.75158,                0.88287,                0.69361,                0.64739,                0.69786,                0.46858,                 1.1316,                0.76654,                0.91158,              4.456e-05,              4.456e-05,              4.456e-05
                     59,                0.98928,                0.74036,                0.87672,                0.73063,                0.64031,                0.70271,                0.46642,                 1.1361,                0.76617,                0.91333,              4.357e-05,              4.357e-05,              4.357e-05
                     60,                0.99117,                0.72804,                0.88019,                 0.6986,                0.66258,                0.69629,                0.47541,                 1.1306,                0.75837,                0.90979,              4.258e-05,              4.258e-05,              4.258e-05
                     61,                0.99722,                0.73668,                0.87722,                0.66682,                  0.711,                0.71435,                 0.4827,                 1.1197,                0.75237,                0.90776,              4.159e-05,              4.159e-05,              4.159e-05
                     62,                0.97026,                0.72252,                0.87912,                0.65815,                0.69915,                0.71586,                0.48091,                 1.1344,                0.77882,                0.91014,               4.06e-05,               4.06e-05,               4.06e-05
                     63,                 1.0041,                0.73168,                0.88138,                0.70806,                0.66672,                 0.7055,                0.47179,                 1.1477,                0.76523,                0.91592,              3.961e-05,              3.961e-05,              3.961e-05
                     64,                0.98468,                0.71134,                  0.883,                0.69465,                0.69672,                0.70933,                0.47436,                  1.136,                0.75598,                0.91224,              3.862e-05,              3.862e-05,              3.862e-05
                     65,                 0.9838,                0.72432,                 0.8794,                0.65663,                0.70073,                0.70498,                0.46977,                 1.1408,                0.77452,                0.91434,              3.763e-05,              3.763e-05,              3.763e-05
                     66,                0.99742,                0.72941,                0.87682,                0.64863,                0.70002,                0.69695,                 0.4644,                 1.1365,                0.79181,                0.91544,              3.664e-05,              3.664e-05,              3.664e-05
                     67,                0.98035,                0.71345,                0.87786,                0.68252,                0.69425,                0.71406,                0.47294,                  1.136,                0.76916,                0.91567,              3.565e-05,              3.565e-05,              3.565e-05
                     68,                0.99357,                0.71576,                0.87924,                0.65787,                0.71131,                0.70293,                0.46861,                 1.1332,                0.75586,                 0.9139,              3.466e-05,              3.466e-05,              3.466e-05
                     69,                 0.9942,                 0.7111,                0.87874,                0.67528,                0.66926,                0.69891,                0.46583,                 1.1323,                0.76434,                0.91174,              3.367e-05,              3.367e-05,              3.367e-05
                     70,                0.98932,                0.71923,                 0.8825,                 0.6779,                0.69022,                0.71225,                0.47217,                 1.1421,                0.76953,                0.91609,              3.268e-05,              3.268e-05,              3.268e-05
                     71,                0.98124,                0.70017,                0.87853,                 0.7102,                0.67808,                0.71554,                0.48082,                 1.1312,                0.75413,                0.91436,              3.169e-05,              3.169e-05,              3.169e-05
                     72,                0.97331,                0.70151,                0.87833,                0.73222,                0.67157,                0.71979,                0.48379,                 1.1384,                0.75281,                0.91504,               3.07e-05,               3.07e-05,               3.07e-05
                     73,                0.97096,                0.70115,                0.87694,                0.69149,                0.66937,                0.71146,                0.47636,                 1.1352,                0.75157,                0.91318,              2.971e-05,              2.971e-05,              2.971e-05
                     74,                0.97271,                0.70646,                 0.8813,                0.65585,                0.72118,                0.70854,                0.47319,                 1.1304,                0.74038,                0.91083,              2.872e-05,              2.872e-05,              2.872e-05
                     75,                0.97164,                0.70061,                0.88483,                0.70375,                0.67065,                 0.7091,                 0.4764,                   1.13,                0.74864,                0.91093,              2.773e-05,              2.773e-05,              2.773e-05
