                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   1.04,                0.92319,                0.88279,                0.65143,                0.63297,                0.64756,                 0.4421,                 1.1968,                0.85975,                 0.9253,              3.664e-05,              3.664e-05,              3.664e-05
                     35,                  1.041,                0.90612,                 0.8918,                0.62644,                0.65093,                0.64476,                0.43443,                 1.2035,                0.86793,                0.92471,              3.466e-05,              3.466e-05,              3.466e-05
                     36,                 1.0594,                0.93674,                0.88974,                0.65306,                0.62265,                 0.6692,                0.45311,                 1.1933,                0.85272,                0.92519,              3.268e-05,              3.268e-05,              3.268e-05
                     37,                 1.0486,                 0.9072,                0.89112,                 0.6876,                0.60654,                0.66677,                0.44954,                 1.1885,                0.82855,                0.92353,               3.07e-05,               3.07e-05,               3.07e-05
                     38,                 1.0427,                0.90311,                0.88903,                0.68294,                0.64687,                0.66863,                0.45271,                  1.189,                0.84958,                0.92334,              2.872e-05,              2.872e-05,              2.872e-05
                     39,                 1.0429,                0.90538,                0.88677,                0.71675,                0.62049,                0.68241,                 0.4615,                 1.1877,                0.83469,                0.92254,              2.674e-05,              2.674e-05,              2.674e-05
                     40,                 1.0348,                0.90712,                0.88782,                0.62886,                0.62997,                0.66699,                0.44893,                 1.1884,                0.83877,                0.92254,              2.476e-05,              2.476e-05,              2.476e-05
                     41,                 1.0386,                  1.008,                0.88411,                0.63776,                0.64595,                0.65005,                0.44316,                 1.1941,                 0.8606,                0.92505,              2.278e-05,              2.278e-05,              2.278e-05
                     42,                 1.0435,                0.98452,                0.88479,                0.68306,                0.61441,                0.66057,                 0.4454,                  1.204,                0.89226,                0.93015,               2.08e-05,               2.08e-05,               2.08e-05
                     43,                 1.0299,                0.93763,                0.89007,                 0.6615,                0.62025,                0.65405,                0.44071,                 1.2058,                 0.8908,                0.92834,              1.882e-05,              1.882e-05,              1.882e-05
                     44,                 1.0413,                0.93799,                0.88495,                0.64883,                0.63174,                0.66095,                0.44398,                 1.2036,                0.87246,                 0.9273,              1.684e-05,              1.684e-05,              1.684e-05
                     45,                 1.0324,                0.91792,                0.88482,                0.63256,                0.64839,                0.65838,                 0.4424,                 1.1913,                0.87691,                 0.9238,              1.486e-05,              1.486e-05,              1.486e-05
                     46,                 1.0239,                 0.9187,                0.88173,                0.60972,                0.66289,                0.65055,                0.43795,                 1.1921,                0.88221,                0.92495,              1.288e-05,              1.288e-05,              1.288e-05
                     47,                 1.0252,                0.89926,                0.88186,                0.58731,                0.68491,                 0.6496,                0.43882,                 1.1945,                0.88169,                0.92457,               1.09e-05,               1.09e-05,               1.09e-05
                     48,                 1.0275,                0.91516,                0.88506,                0.60685,                0.67086,                0.65243,                0.44253,                 1.1926,                 0.8768,                 0.9238,               8.92e-06,               8.92e-06,               8.92e-06
                     49,                  1.017,                0.89829,                0.88217,                0.61991,                0.65165,                0.65365,                0.44014,                 1.1903,                0.86963,                0.92332,               6.94e-06,               6.94e-06,               6.94e-06
                     50,                 1.0181,                0.89939,                  0.879,                0.61513,                0.65824,                0.65361,                0.43931,                 1.1885,                0.86014,                0.92224,               4.96e-06,               4.96e-06,               4.96e-06
